CDSCode,Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School (Y/N),Charter School Number,Charter Funding Type,IRC,Low Grade,High Grade,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),FRPM Count (K-12),Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Free Meal Count (Ages 5-17),Percent (%) Eligible Free (Ages 5-17),FRPM Count (Ages 5-17),Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
01611190111765,2014-2015,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,588.0,322.0,0.547619047619048,398.0,0.67687074829932,588.0,322.0,0.547619047619048,398.0,0.67687074829932,1
01611190119222,2014-2015,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,1,1066,Directly funded,1,K,12,476.0,117.0,0.245798319327731,147.0,0.308823529411765,470.0,115.0,0.24468085106383,145.0,0.308510638297872,1
01611190122085,2014-2015,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,1,1181,Directly funded,0,6,8,508.0,160.0,0.31496062992126,193.0,0.37992125984252,508.0,160.0,0.31496062992126,193.0,0.37992125984252,1
01611190126656,2014-2015,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,K,8,321.0,114.0,0.355140186915888,134.0,0.417445482866044,312.0,111.0,0.355769230769231,131.0,0.419871794871795,1
01611190128199,2014-2015,01,61119,0128199,Alameda,Alameda Unified,Encinal Junior Jets,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,229.0,103.0,0.449781659388646,128.0,0.558951965065502,229.0,103.0,0.449781659388646,128.0,0.558951965065502,1
01611190130609,2014-2015,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,,1,0352,Directly funded,1,6,12,376.0,35.0,0.0930851063829787,47.0,0.125,374.0,33.0,0.0882352941176471,45.0,0.120320855614973,1
01611190130625,2014-2015,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,1,0398,Directly funded,1,9,12,161.0,123.0,0.763975155279503,148.0,0.919254658385093,142.0,110.0,0.774647887323944,132.0,0.929577464788732,1
01611190132878,2014-2015,01,61119,0132878,Alameda,Alameda Unified,Encinal High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1052.0,371.0,0.352661596958175,447.0,0.424904942965779,1003.0,349.0,0.347956131605184,422.0,0.42073778664008,1
01611430122689,2014-2015,01,61143,0122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,1,1254,Directly funded,1,6,8,310.0,182.0,0.587096774193548,230.0,0.741935483870968,310.0,182.0,0.587096774193548,230.0,0.741935483870968,1
01611430122697,2014-2015,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,,1,1255,Directly funded,1,9,12,361.0,223.0,0.617728531855956,267.0,0.739612188365651,350.0,216.0,0.617142857142857,260.0,0.742857142857143,1
01611760130534,2014-2015,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,1,0152,Locally funded,0,K,12,247.0,23.0,0.0931174089068826,23.0,0.0931174089068826,237.0,22.0,0.0928270042194093,22.0,0.0928270042194093,1
01611920108670,2014-2015,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,1,0684,Directly funded,1,9,12,507.0,241.0,0.47534516765286,331.0,0.652859960552268,492.0,232.0,0.471544715447154,319.0,0.648373983739837,1
01611920111815,2014-2015,01,61192,0111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,717.0,324.0,0.451882845188285,376.0,0.524407252440725,717.0,324.0,0.451882845188285,376.0,0.524407252440725,1
01611920113902,2014-2015,01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,1,0836,Directly funded,1,9,12,468.0,253.0,0.540598290598291,337.0,0.72008547008547,451.0,241.0,0.534368070953437,325.0,0.720620842572062,1
01611920119248,2014-2015,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,1,1067,Directly funded,1,1,8,209.0,18.0,0.0861244019138756,20.0,0.0956937799043062,209.0,18.0,0.0861244019138756,20.0,0.0956937799043062,1
01611920127696,2014-2015,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,,1,1514,Directly funded,1,K,8,263.0,117.0,0.444866920152091,157.0,0.596958174904943,259.0,117.0,0.451737451737452,155.0,0.598455598455598,1
01611920127944,2014-2015,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,,1,1543,Directly funded,1,9,12,112.0,52.0,0.464285714285714,53.0,0.473214285714286,112.0,52.0,0.464285714285714,53.0,0.473214285714286,1
01611926113815,2014-2015,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,145.0,92.0,0.63448275862069,107.0,0.737931034482759,145.0,92.0,0.63448275862069,107.0,0.737931034482759,1
01612000107839,2014-2015,01,61200,0107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,,1,1565,Directly funded,1,K,8,1113.0,34.0,0.0305480682839173,34.0,0.0305480682839173,1097.0,33.0,0.0300820419325433,33.0,0.0300820419325433,1
01612000130393,2014-2015,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,1,12,93.0,13.0,0.139784946236559,16.0,0.172043010752688,84.0,9.0,0.107142857142857,12.0,0.142857142857143,1
01612000132670,2014-2015,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,,0,,,0,7,12,143.0,75.0,0.524475524475524,83.0,0.58041958041958,99.0,50.0,0.505050505050505,57.0,0.575757575757576,1
01612000133397,2014-2015,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,2017.0,291.0,0.14427367377293,354.0,0.175508180466039,1950.0,274.0,0.140512820512821,335.0,0.171794871794872,1
01612000134536,2014-2015,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1771.0,348.0,0.196499153020892,430.0,0.242800677583286,1724.0,334.0,0.193735498839907,416.0,0.241299303944316,1
01612006001234,2014-2015,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,872.0,523.0,0.599770642201835,570.0,0.653669724770642,872.0,523.0,0.599770642201835,570.0,0.653669724770642,1
01612006001242,2014-2015,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,624.0,173.0,0.27724358974359,206.0,0.330128205128205,624.0,173.0,0.27724358974359,206.0,0.330128205128205,1
01612006001259,2014-2015,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,727.0,73.0,0.10041265474553,82.0,0.112792297111417,727.0,73.0,0.10041265474553,82.0,0.112792297111417,1
01612006001283,2014-2015,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,532.0,203.0,0.381578947368421,248.0,0.466165413533835,517.0,199.0,0.384912959381044,243.0,0.470019342359768,1
01612006001291,2014-2015,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,8,581.0,181.0,0.311531841652324,203.0,0.349397590361446,557.0,178.0,0.319569120287253,200.0,0.359066427289048,1
01612006001317,2014-2015,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,421.0,328.0,0.779097387173397,351.0,0.833729216152019,409.0,318.0,0.777506112469438,341.0,0.833740831295844,1
01612006001341,2014-2015,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,958.0,86.0,0.0897703549060543,107.0,0.111691022964509,958.0,86.0,0.0897703549060543,107.0,0.111691022964509,1
01612006071906,2014-2015,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,651.0,133.0,0.204301075268817,153.0,0.235023041474654,631.0,132.0,0.20919175911252,150.0,0.237717908082409,1
01612006085773,2014-2015,01,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,661.0,104.0,0.157337367624811,139.0,0.210287443267776,661.0,104.0,0.157337367624811,139.0,0.210287443267776,1
01612006089338,2014-2015,01,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,553.0,102.0,0.184448462929476,131.0,0.236889692585895,536.0,99.0,0.184701492537313,128.0,0.238805970149254,1
01612006097661,2014-2015,01,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,792.0,39.0,0.0492424242424242,45.0,0.0568181818181818,792.0,39.0,0.0492424242424242,45.0,0.0568181818181818,1
01612006110332,2014-2015,01,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,594.0,129.0,0.217171717171717,158.0,0.265993265993266,581.0,123.0,0.21170395869191,152.0,0.261617900172117,1
01612006117543,2014-2015,01,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,519.0,64.0,0.123314065510597,87.0,0.167630057803468,507.0,62.0,0.122287968441815,85.0,0.167652859960552,1
01612186001358,2014-2015,01,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,0,,,0,K,8,22.0,2.0,0.0909090909090909,2.0,0.0909090909090909,22.0,2.0,0.0909090909090909,2.0,0.0909090909090909,1
01612340130054,2014-2015,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,,0,,,0,9,12,1850.0,703.0,0.38,838.0,0.452972972972973,1797.0,680.0,0.378408458542014,809.0,0.450194769059544,1
01612340130484,2014-2015,01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,K,12,33.0,14.0,0.424242424242424,15.0,0.454545454545455,30.0,13.0,0.433333333333333,14.0,0.466666666666667,1
01612340135426,2014-2015,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,,0,,,0,9,12,90.0,59.0,0.655555555555556,64.0,0.711111111111111,70.0,47.0,0.671428571428571,51.0,0.728571428571429,1
01612346001440,2014-2015,01,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,468.0,311.0,0.664529914529915,355.0,0.758547008547009,468.0,311.0,0.664529914529915,355.0,0.758547008547009,1
01612346001457,2014-2015,01,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,319.0,178.0,0.557993730407524,202.0,0.633228840125392,304.0,176.0,0.578947368421053,199.0,0.654605263157895,1
01612346001473,2014-2015,01,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,406.0,198.0,0.487684729064039,218.0,0.536945812807882,406.0,198.0,0.487684729064039,218.0,0.536945812807882,1
01612346001481,2014-2015,01,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,423.0,253.0,0.598108747044917,288.0,0.680851063829787,423.0,253.0,0.598108747044917,288.0,0.680851063829787,1
01612346001499,2014-2015,01,61234,6001499,Alameda,Newark Unified,James L. Bunker Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,543.0,140.0,0.257826887661142,167.0,0.307550644567219,543.0,140.0,0.257826887661142,167.0,0.307550644567219,1
01612346001507,2014-2015,01,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,369.0,84.0,0.227642276422764,92.0,0.249322493224932,369.0,84.0,0.227642276422764,92.0,0.249322493224932,1
01612346001523,2014-2015,01,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,418.0,168.0,0.401913875598086,211.0,0.504784688995215,388.0,157.0,0.404639175257732,198.0,0.510309278350515,1
01612346001531,2014-2015,01,61234,6001531,Alameda,Newark Unified,Louis Milani Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,6,364.0,206.0,0.565934065934066,246.0,0.675824175824176,364.0,206.0,0.565934065934066,246.0,0.675824175824176,1
01612346102917,2014-2015,01,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,7,8,906.0,411.0,0.45364238410596,485.0,0.535320088300221,906.0,411.0,0.45364238410596,485.0,0.535320088300221,1
01612420110460,2014-2015,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,,0,,,0,9,12,150.0,61.0,0.406666666666667,62.0,0.413333333333333,80.0,31.0,0.3875,32.0,0.4,1
01612420110478,2014-2015,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,0,,,0,9,12,8.0,7.0,0.875,7.0,0.875,7.0,6.0,0.857142857142857,6.0,0.857142857142857,1
01612426068266,2014-2015,01,61242,6068266,Alameda,New Haven Unified,Alvarado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,1437.0,386.0,0.268615170494085,492.0,0.342379958246347,1437.0,386.0,0.268615170494085,492.0,0.342379958246347,1
01612426097679,2014-2015,01,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,0,,,0,6,8,1283.0,564.0,0.439594699922058,651.0,0.507404520654716,1283.0,564.0,0.439594699922058,651.0,0.507404520654716,1
01612426118525,2014-2015,01,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,874.0,129.0,0.147597254004577,176.0,0.20137299771167,856.0,125.0,0.146028037383178,171.0,0.199766355140187,1
01612590100065,2014-2015,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,,1,0510,Directly funded,1,9,12,311.0,204.0,0.655948553054662,244.0,0.784565916398714,289.0,187.0,0.647058823529412,226.0,0.782006920415225,1
01612590106906,2014-2015,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,High Schools (Public),Traditional,Provision 2,1,0661,Directly funded,1,6,12,262.0,229.0,0.874045801526718,229.0,0.874045801526718,254.0,222.0,0.874015748031496,222.0,0.874015748031496,1
01612590108944,2014-2015,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,,1,0700,Directly funded,1,9,12,262.0,194.0,0.740458015267176,220.0,0.83969465648855,241.0,175.0,0.726141078838174,199.0,0.825726141078838,1
01612590109819,2014-2015,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,,1,0726,Directly funded,1,K,8,566.0,388.0,0.685512367491166,462.0,0.816254416961131,559.0,381.0,0.681574239713775,455.0,0.813953488372093,1
01612590110239,2014-2015,01,61259,0110239,Alameda,Oakland Unified,Reach Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2,0,,,0,K,5,399.0,316.0,0.791979949874687,327.0,0.819548872180451,384.0,304.0,0.791666666666667,315.0,0.8203125,1
01612590110247,2014-2015,01,61259,0110247,Alameda,Oakland Unified,Manzanita SEED,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,405.0,258.0,0.637037037037037,283.0,0.698765432098765,396.0,250.0,0.631313131313131,275.0,0.694444444444444,1
01612590110254,2014-2015,01,61259,0110254,Alameda,Oakland Unified,Sankofa Academy,Unified School District,Elementary Schools (Public),Traditional,Breakfast Provision 2,0,,,0,P,8,362.0,302.0,0.834254143646409,322.0,0.889502762430939,354.0,295.0,0.833333333333333,315.0,0.889830508474576,1
01612590110262,2014-2015,01,61259,0110262,Alameda,Oakland Unified,Rise Community,Unified School District,Elementary Schools (Public),Traditional,,0,,,0,K,5,305.0,244.0,0.8,250.0,0.819672131147541,305.0,244.0,0.8,250.0,0.819672131147541,1
01612590111476,2014-2015,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2,1,0780,Directly funded,1,P,5,749.0,637.0,0.850467289719626,710.0,0.947930574098798,721.0,618.0,0.857142857142857,688.0,0.954230235783634,1
01612590111856,2014-2015,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,,1,0765,Directly funded,1,9,12,214.0,113.0,0.52803738317757,151.0,0.705607476635514,206.0,108.0,0.524271844660194,144.0,0.699029126213592,1
01612590114363,2014-2015,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter School II,Unified School District,Elementary Schools (Public),Traditional,,1,0882,Directly funded,1,K,8,616.0,327.0,0.530844155844156,423.0,0.686688311688312,613.0,326.0,0.531810766721044,422.0,0.688417618270799,1
01612590114454,2014-2015,01,61259,0114454,Alameda,Oakland Unified,Conservatory of Vocal/Instrumental Arts,Unified School District,Elementary Schools (Public),Traditional,,1,0864,Directly funded,1,K,8,237.0,95.0,0.40084388185654,155.0,0.654008438818565,237.0,95.0,0.40084388185654,155.0,0.654008438818565,1
01612590114868,2014-2015,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,,1,0883,Directly funded,1,9,12,350.0,234.0,0.668571428571429,280.0,0.8,336.0,221.0,0.657738095238095,267.0,0.794642857142857,1
01612590115014,2014-2015,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Charter,Unified School District,Elementary Schools (Public),Traditional,,1,0938,Directly funded,1,5,8,340.0,214.0,0.629411764705882,247.0,0.726470588235294,340.0,214.0,0.629411764705882,247.0,0.726470588235294,1
01612590115238,2014-2015,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,,1,0837,Directly funded,1,9,12,258.0,205.0,0.794573643410853,233.0,0.903100775193798,244.0,194.0,0.795081967213115,222.0,0.909836065573771,1
01612590115386,2014-2015,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,,1,0948,Directly funded,1,9,Adult,80.0,72.0,0.9,75.0,0.9375,2.0,2.0,1.0,2.0,1.0,1
01612590115592,2014-2015,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,Provision 2,1,1442,Directly funded,0,K,5,411.0,344.0,0.83698296836983,376.0,0.914841849148418,411.0,344.0,0.83698296836983,376.0,0.914841849148418,1
01612590118224,2014-2015,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,High Schools (Public),Traditional,,1,1023,Directly funded,1,6,12,562.0,417.0,0.741992882562278,466.0,0.829181494661922,552.0,411.0,0.744565217391304,459.0,0.831521739130435,1
01612590119859,2014-2015,01,61259,0119859,Alameda,Oakland Unified,Gateway to College at Laney College,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,0,,,0,9,12,68.0,24.0,0.352941176470588,27.0,0.397058823529412,10.0,3.0,0.3,4.0,0.4,1
01612590120188,2014-2015,01,61259,0120188,Alameda,Oakland Unified,Aspire ERES Academy,Unified School District,Elementary Schools (Public),Traditional,,1,1115,Directly funded,1,K,8,223.0,192.0,0.860986547085202,210.0,0.94170403587444,219.0,190.0,0.867579908675799,207.0,0.945205479452055,1
01612590123711,2014-2015,01,61259,0123711,Alameda,Oakland Unified,Vincent Academy,Unified School District,Elementary Schools (Public),Traditional,,1,1271,Directly funded,1,K,5,142.0,123.0,0.866197183098592,126.0,0.887323943661972,142.0,123.0,0.866197183098592,126.0,0.887323943661972,1
01612590126748,2014-2015,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,,1,1449,Directly funded,1,9,12,292.0,252.0,0.863013698630137,271.0,0.928082191780822,279.0,243.0,0.870967741935484,259.0,0.92831541218638,1
01612590128413,2014-2015,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy,Unified School District,Elementary Schools (Public),Traditional,,1,1577,Directly funded,1,K,5,277.0,240.0,0.866425992779783,262.0,0.945848375451264,274.0,237.0,0.864963503649635,259.0,0.945255474452555,1
01612590129403,2014-2015,01,61259,0129403,Alameda,Oakland Unified,Epic Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,1,1632,Directly funded,1,6,8,164.0,139.0,0.847560975609756,152.0,0.926829268292683,164.0,139.0,0.847560975609756,152.0,0.926829268292683,1
01612590129635,2014-2015,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,1,1661,Directly funded,1,6,8,248.0,182.0,0.733870967741935,209.0,0.842741935483871,248.0,182.0,0.733870967741935,209.0,0.842741935483871,1
01612590129932,2014-2015,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy,Unified School District,K-12 Schools (Public),Traditional,,1,1620,Directly funded,1,6,12,216.0,24.0,0.111111111111111,30.0,0.138888888888889,216.0,24.0,0.111111111111111,30.0,0.138888888888889,1
01612590130617,2014-2015,01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",Unified School District,High Schools (Public),Traditional,,1,0349,Directly funded,1,6,12,646.0,420.0,0.65015479876161,509.0,0.787925696594427,631.0,409.0,0.648177496038035,494.0,0.782884310618067,1
01612590130633,2014-2015,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter,Unified School District,K-12 Schools (Public),Traditional,,1,0413,Directly funded,1,K,8,488.0,366.0,0.75,408.0,0.836065573770492,486.0,364.0,0.748971193415638,406.0,0.835390946502058,1
01612590130666,2014-2015,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Unified School District,High Schools (Public),Traditional,,1,0465,Directly funded,1,6,12,491.0,419.0,0.853360488798371,469.0,0.955193482688391,483.0,414.0,0.857142857142857,463.0,0.958592132505176,1
01612590130732,2014-2015,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Unified School District,Elementary Schools (Public),Traditional,,1,1663,Directly funded,1,K,5,284.0,245.0,0.862676056338028,263.0,0.926056338028169,283.0,244.0,0.862190812720848,262.0,0.925795053003534,1
